dinheiro,77.0,2024-06-10T18:02:20.955351,null,null
alimentos,33.0,2024-06-10T18:02:20.955521,null,null
dinheiro,89.0,2024-06-10T18:02:20.955541,null,null
alimentos,33.0,2024-06-10T18:02:20.955553,null,null
roupas,55.0,2024-06-10T18:02:20.955570,null,null
outras,55.0,2024-06-10T18:02:20.955580,null,null
dinheiro,23.0,2024-06-10T18:02:20.955618,null,null
roupas,55.0,2024-06-10T18:02:20.955640,null,null
dinheiro,10.0,2024-06-10T18:02:20.955658,null,null
alimentos,4.0,2024-06-10T18:02:20.955683,null,null
dinheiro,77.0,2024-06-10T18:02:20.955707,null,null
dinheiro,77.0,2024-06-10T18:02:20.955732,null,null
dinheiro,77.9,2024-06-10T18:02:20.955744,null,null
alimentos,35.5,2024-06-10T18:02:20.955754,null,null
roupas,45.0,2024-06-10T18:02:20.955764,null,null
outras,60.0,2024-06-10T18:02:20.955774,null,null
dinheiro,30.0,2024-06-10T18:02:20.955784,null,null
roupas,50.0,2024-06-10T18:02:20.955794,null,null
outras,50.0,2024-06-10T18:02:20.955803,null,null
dinheiro,77.0,2024-06-10T18:02:20.955812,null,null
dinheiro,77.0,2024-06-10T18:02:20.955839,null,null
alimentos,60.0,2024-06-10T18:02:20.955848,null,null
roupas,47.0,2024-06-10T18:02:20.955869,null,null
outras,5.0,2024-06-10T18:02:20.955879,null,null
dinheiro,105.0,2024-06-10T18:02:20.955888,null,null
alimentos,30.0,2024-06-10T18:02:20.955897,null,null
roupas,50.0,2024-06-10T18:02:20.955905,null,null
dinheiro,100.3,2024-06-10T18:02:20.955915,null,null
alimentos,30.0,2024-06-10T18:02:20.955928,null,null
outras,50.0,2024-06-10T18:02:20.955937,null,null
dinheiro,77.77,2024-06-10T18:02:20.955946,null,null
alimentos,30.0,2024-06-10T18:02:20.955954,null,null
dinheiro,100.3,2024-06-10T18:02:20.956009,null,null
alimentos,30.5,2024-06-10T18:02:20.956020,null,null
dinheiro,100.56,2024-06-10T18:02:20.956029,null,null
dinheiro,77.77,2024-06-10T18:02:20.956038,null,null
dinheiro,89.9,2024-06-10T18:02:20.956046,null,null
alimentos,30.5,2024-06-10T18:02:20.956055,null,null
dinheiro,45.77,2024-06-10T18:02:20.956076,null,null
alimentos,30.58,2024-06-10T18:02:20.956097,null,null
dinheiro,45.54,2024-06-10T18:02:20.956112,null,null
dinheiro,77.56,2024-06-10T18:02:20.956121,null,null
dinheiro,45.56,2024-06-10T18:02:20.956129,null,null
dinheiro,77.0,2024-06-10T18:02:20.956136,null,null
dinheiro,54.23,2024-06-10T18:02:20.956144,null,null
alimentos,60.0,2024-06-10T18:02:20.956151,null,null
dinheiro,20.0,2024-06-10T18:02:20.956159,null,null
dinheiro,100.77,2024-06-10T18:02:20.956174,null,null
alimentos,30.5,2024-06-10T18:02:20.956182,null,null
dinheiro,100.5,2024-06-10T18:02:20.956190,null,null
dinheiro,100.0,2024-06-10T18:02:20.956199,null,null
dinheiro,77.89,2024-06-10T18:02:20.956207,null,null
dinheiro,77.77,2024-06-10T18:02:20.956214,null,null
alimentos,30.0,2024-06-10T18:02:20.956222,null,null
roupas,5.0,2024-06-10T18:02:20.956230,null,null
outras,30.0,2024-06-10T18:02:20.956237,null,null
dinheiro,77.0,2024-06-10T18:02:20.956244,null,null
dinheiro,77.0,2024-06-10T18:02:20.956251,null,null
dinheiro,77.0,2024-06-10T18:02:20.956258,null,null
dinheiro,55.0,2024-06-10T18:02:20.956328,null,null
dinheiro,77.0,2024-06-10T18:02:20.956337,null,null
dinheiro,77.56,2024-06-10T18:02:20.956351,null,null
roupas,567.0,2024-06-10T18:02:20.956360,null,null
outras,5.0,2024-06-10T18:02:20.956367,null,null
dinheiro,59.54,2024-06-10T18:02:20.956375,null,null
alimentos,30.0,2024-06-10T18:02:20.956382,null,null
dinheiro,40.0,2024-06-10T18:02:20.956390,null,null
outras,5.0,2024-06-10T18:02:20.956397,null,null
alimentos,1.0,2024-06-10T18:02:20.956405,null,null
dinheiro,77.77,2024-06-10T18:02:20.956412,null,null
alimentos,1556893.0,2024-06-10T18:02:20.956420,null,null
dinheiro,55.0,2024-06-10T18:02:20.956428,null,null
alimentos,30.0,2024-06-10T18:02:20.956435,null,null
dinheiro,356.78,2024-06-10T18:02:20.956442,null,null
dinheiro,55.0,2024-06-10T18:02:20.956450,null,null
roupas,55.0,2024-06-10T18:02:20.956456,567,stio
dinheiro,1785.25,2024-06-10T18:02:20.956464,tarantino,tarantino@yahoo.com.br
roupas,35.0,2024-06-10T18:02:20.956470,jim,jim@564
roupas,1465.0,2024-06-10T18:02:47.738623,1918war,war@789
